arrival_intercept,arrival_slope,departure_intercept,departure_slope,arrival_std,departure_std,seasonal_start,seasonal_end
136.25,0,158.4791667,0,49.62255823,104.1163706,115,270
383.19431,-3.821130557,651.8361679,-7.197545755,39.56521136,37.40586142,0,0
134.9208333,0,223.5,0,22.44822381,51.56856529,130,250
14.25631041,1.926504722,499.9475028,-4.936687089,19.73716762,53.95098916,0,0
-393.1186995,8.128328048,1274.275258,-16.24882956,67.69490956,55.95544955,0,0
78.88409091,0,249.9704545,0,57.34762203,77.78647363,60,330
-826.1040062,14.3927869,1359.873502,-16.94089773,68.9750401,107.2570163,75,330
120.99375,0,225.09375,0,16.71749117,103.5600093,120,240
-647.7252812,11.80651828,1332.24011,-16.45838994,53.29328581,64.5330161,75,315
140.3090909,0,215.4261364,0,7.524744732,47.42584916,130,250
-90.90649255,3.384683078,365.1483198,-2.432996795,18.10844312,46.67497241,0,0
-20,0,400,0,1,1,0,0
187.0887547,-0.7374185164,594.7557566,-5.899161773,22.33310296,29.67178243,0,0
-311.7759867,6.789906891,720.8144436,-8.02626021,39.08404413,59.83766383,0,0
129.5583333,0,217.1638889,0,15.11366724,77.05607606,0,0
-260.0107842,6.129892304,663.3567897,-6.835388331,51.30188294,48.36256189,130,270
-72.23110462,3.284716764,618.3977822,-6.150228534,30.69053939,41.68302824,135,260
107.6920237,0.6008941209,82.69822589,1.902576426,39.29082541,28.03474957,115,250
-20,0,400,0,1,1,1,365
-80.80083813,3.270081035,399.6524094,-3.003991965,33.86804579,43.83117833,105,250
-20,0,400,0,1,1,0,0
-1453.760004,24.21638934,1438.878022,-17.76146231,92.31593924,88.70669269,0,0
-335.5526023,7.610815241,602.0918804,-6.335183554,42.42326106,72.43871503,0,0
-81.86215569,1.0105912,423.9445759,-0.7006086555,26.8336523,46.72079817,0,0
-175.3585915,4.215239164,963.2089201,-11.87316269,25.73367839,79.61221296,70,315
-82.23110462,3.284716764,648.3977822,-6.150228534,30.69053939,41.68302824,135,270
-7.868502161,1.879306455,459.1159083,-3.936075343,31.53655693,52.81292066,0,0
-67.97658169,2.713733443,651.4874436,-6.160336359,22.81441917,39.56627022,100,285
-258.3745461,5.823682194,775.8102444,-8.392167923,28.30021535,70.6180442,0,0
-142.2403773,4.167302954,623.9157895,-5.66112619,32.56694581,53.2437408,0,0
108.8840909,0,219.9704545,0,57.34762203,77.78647363,75,290
-20,0,400,0,1,1,0,0
138.4101393,0.03729380333,474.094236,-4.585343883,16.09997989,52.72232334,0,0
129.5583333,0,247.1638889,0,15.11366724,77.05607606,100,280
